biome,site,value,disturbance,forestcover_50,forestcover_10,year,forest10,forest50,rate10,rate50,cluster,x,y
boreal,CARTIER,7,40,643132800,646143300,2007,717937,714592,5.5715195065862325e-5,5.5975997492275314e-5,2,-71.34785213179656,47.31721033605456
boreal,CARTIER,8,12,643132800,646143300,2008,717937,714592,1.6714558519758698e-5,1.6792799247682595e-5,2,-71.34785213179656,47.31721033605456
boreal,CARTIER,9,91,643132800,646143300,2009,717937,714592,1.267520687748368e-4,1.2734539429492633e-4,2,-71.34785213179656,47.31721033605456
boreal,CARTIER,10,44,643132800,646143300,2010,717937,714592,6.128671457244856e-5,6.157359724150284e-5,2,-71.34785213179656,47.31721033605456
boreal,CARTIER,11,88,643132800,646143300,2011,717937,714592,1.2257342914489712e-4,1.2314719448300567e-4,2,-71.34785213179656,47.31721033605456
boreal,CARTIER,12,278,643132800,646143300,2012,717937,714592,3.8722060570774315e-4,3.8903318257131343e-4,2,-71.34785213179656,47.31721033605456
boreal,CARTIER,13,935,643132800,646143300,2013,717937,714592,0.0013023426846645318,0.0013084389413819354,2,-71.34785213179656,47.31721033605456
boreal,CARTIER,14,105,643132800,646143300,2014,717937,714592,1.462523870478886e-4,1.469369934172227e-4,2,-71.34785213179656,47.31721033605456
boreal,CENTRALFOR,1,3,46588500,46782000,2001,51980,51765,5.7714505579068875e-5,5.795421616922631e-5,1,32.904219793807876,56.500150495467864
boreal,CENTRALFOR,2,8,46588500,46782000,2002,51980,51765,1.5390534821085032e-4,1.5454457645127016e-4,1,32.904219793807876,56.500150495467864
boreal,CENTRALFOR,3,0,46588500,46782000,2003,51980,51765,0,0,1,32.904219793807876,56.500150495467864
boreal,CENTRALFOR,4,1,46588500,46782000,2004,51980,51765,1.923816852635629e-5,1.931807205640877e-5,1,32.904219793807876,56.500150495467864
boreal,CENTRALFOR,5,9,46588500,46782000,2005,51980,51765,1.731435167372066e-4,1.7386264850767892e-4,1,32.904219793807876,56.500150495467864
boreal,CENTRALFOR,6,3,46588500,46782000,2006,51980,51765,5.7714505579068875e-5,5.795421616922631e-5,1,32.904219793807876,56.500150495467864
boreal,CENTRALFOR,7,2,46588500,46782000,2007,51980,51765,3.847633705271258e-5,3.863614411281754e-5,1,32.904219793807876,56.500150495467864
boreal,CENTRALFOR,8,6,46588500,46782000,2008,51980,51765,1.1542901115813775e-4,1.1590843233845262e-4,1,32.904219793807876,56.500150495467864
boreal,CENTRALFOR,9,3,46588500,46782000,2009,51980,51765,5.7714505579068875e-5,5.795421616922631e-5,1,32.904219793807876,56.500150495467864
boreal,CENTRALFOR,10,34,46588500,46782000,2010,51980,51765,6.540977298961139e-4,6.568144499178982e-4,1,32.904219793807876,56.500150495467864
boreal,CENTRALFOR,11,8,46588500,46782000,2011,51980,51765,1.5390534821085032e-4,1.5454457645127016e-4,1,32.904219793807876,56.500150495467864
boreal,CENTRALFOR,12,16,46588500,46782000,2012,51980,51765,3.0781069642170063e-4,3.090891529025403e-4,1,32.904219793807876,56.500150495467864
boreal,CENTRALFOR,13,38,46588500,46782000,2013,51980,51765,7.31050404001539e-4,7.340867381435333e-4,1,32.904219793807876,56.500150495467864
boreal,CENTRALFOR,14,0,46588500,46782000,2014,51980,51765,0,0,1,32.904219793807876,56.500150495467864
boreal,DENALI,1,7,466520400,1497674700,2001,1664083,518356,4.206520948774791e-6,1.3504232612335924e-5,3,-151.31823288945975,63.70496598029628
boreal,DENALI,2,51,466520400,1497674700,2002,1664083,518356,3.0647509769644906e-5,9.838798046130458e-5,3,-151.31823288945975,63.70496598029628
boreal,DENALI,3,2,466520400,1497674700,2003,1664083,518356,1.2018631282213688e-6,3.858352174953121e-6,3,-151.31823288945975,63.70496598029628
boreal,DENALI,4,150,466520400,1497674700,2004,1664083,518356,9.013973461660266e-5,2.8937641312148406e-4,3,-151.31823288945975,63.70496598029628
boreal,DENALI,5,124,466520400,1497674700,2005,1664083,518356,7.451551394972486e-5,2.392178348470935e-4,3,-151.31823288945975,63.70496598029628
boreal,DENALI,6,13,466520400,1497674700,2006,1664083,518356,7.812110333438897e-6,2.5079289137195287e-5,3,-151.31823288945975,63.70496598029628
boreal,DENALI,7,427,466520400,1497674700,2007,1664083,518356,2.565977778752622e-4,8.237581893524913e-4,3,-151.31823288945975,63.70496598029628
boreal,DENALI,8,96,466520400,1497674700,2008,1664083,518356,5.76894301546257e-5,1.852009043977498e-4,3,-151.31823288945975,63.70496598029628
boreal,DENALI,9,1036,466520400,1497674700,2009,1664083,518356,6.22565100418669e-4,0.001998626426625717,3,-151.31823288945975,63.70496598029628
boreal,DENALI,10,6612,466520400,1497674700,2010,1664083,518356,0.0039733595018998456,0.012755712290395018,3,-151.31823288945975,63.70496598029628
boreal,DENALI,11,1365,466520400,1497674700,2011,1664083,518356,8.202715850110842e-4,0.002633325359405505,3,-151.31823288945975,63.70496598029628
boreal,DENALI,12,4785,466520400,1497674700,2012,1664083,518356,0.0028754575342696247,0.009231107578575343,3,-151.31823288945975,63.70496598029628
boreal,DENALI,13,42345,466520400,1497674700,2013,1664083,518356,0.02544644708226693,0.08169096142419495,3,-151.31823288945975,63.70496598029628
boreal,DENALI,14,351,466520400,1497674700,2014,1664083,518356,2.1092697900285023e-4,6.771408067042727e-4,3,-151.31823288945975,63.70496598029628
boreal,DENEZHKIN,1,667,720824400,739411200,2001,821568,800916,8.11862195216951e-4,8.327964480669633e-4,3,59.48809548666293,60.5089723572197
boreal,DENEZHKIN,2,236,720824400,739411200,2002,821568,800916,2.872555893121446e-4,2.9466261131005e-4,3,59.48809548666293,60.5089723572197
boreal,DENEZHKIN,3,542,720824400,739411200,2003,821568,800916,6.597141076575524e-4,6.767251497035894e-4,3,59.48809548666293,60.5089723572197
boreal,DENEZHKIN,4,111,720824400,739411200,2004,821568,800916,1.3510750175274597e-4,1.3859131294667606e-4,3,59.48809548666293,60.5089723572197
boreal,DENEZHKIN,5,18,720824400,739411200,2005,821568,800916,2.19093246085534e-5,2.2474266964325848e-5,3,59.48809548666293,60.5089723572197
boreal,DENEZHKIN,6,387,720824400,739411200,2006,821568,800916,4.7105047908389813e-4,4.831967397330057e-4,3,59.48809548666293,60.5089723572197
boreal,DENEZHKIN,7,24,720824400,739411200,2007,821568,800916,2.9212432811404535e-5,2.9965689285767795e-5,3,59.48809548666293,60.5089723572197
boreal,DENEZHKIN,8,50,720824400,739411200,2008,821568,800916,6.085923502375945e-5,6.242851934534957e-5,3,59.48809548666293,60.5089723572197
boreal,DENEZHKIN,9,27,720824400,739411200,2009,821568,800916,3.28639869128301e-5,3.371140044648877e-5,3,59.48809548666293,60.5089723572197
boreal,DENEZHKIN,10,2965,720824400,739411200,2010,821568,800916,0.0036089526369089352,0.00370201119717923,3,59.48809548666293,60.5089723572197
boreal,DENEZHKIN,11,14160,720824400,739411200,2011,821568,800916,0.017235335358728676,0.017679756678602998,3,59.48809548666293,60.5089723572197
boreal,DENEZHKIN,12,3476,720824400,739411200,2012,821568,800916,0.0042309340188517565,0.004340030664888702,3,59.48809548666293,60.5089723572197
boreal,DENEZHKIN,13,817,720824400,739411200,2013,821568,800916,9.944399002882293e-4,0.001020082006103012,3,59.48809548666293,60.5089723572197
boreal,DENEZHKIN,14,45,720824400,739411200,2014,821568,800916,5.4773311521383504e-5,5.6185667410814614e-5,3,59.48809548666293,60.5089723572197
boreal,FARNEBOFJARDEN,1,89,53754300,63466200,2001,70518,59727,0.001262089111999773,0.0014901133490716092,1,16.784154196297216,60.2012067962209
boreal,FARNEBOFJARDEN,2,5,53754300,63466200,2002,70518,59727,7.090388269661647e-5,8.371423309391062e-5,1,16.784154196297216,60.2012067962209
boreal,FARNEBOFJARDEN,3,13,53754300,63466200,2003,70518,59727,1.8435009501120283e-4,2.1765700604416764e-4,1,16.784154196297216,60.2012067962209
