biome,site,value,disturbance_ha,closedforest_ha,year,cluster,x,y
boreal,DENALI,5,0.27,31104,2005,3,-151.31823288945975,63.70496598029628
boreal,DENALI,6,0.09,31104,2006,3,-151.31823288945975,63.70496598029628
boreal,DENALI,7,35.55,31104,2007,3,-151.31823288945975,63.70496598029628
boreal,DENALI,8,0.09,31104,2008,3,-151.31823288945975,63.70496598029628
boreal,DENALI,9,0.54,31104,2009,3,-151.31823288945975,63.70496598029628
boreal,DENALI,10,21.96,31104,2010,3,-151.31823288945975,63.70496598029628
boreal,DENALI,11,111.06,31104,2011,3,-151.31823288945975,63.70496598029628
boreal,DENALI,12,182.16,31104,2012,3,-151.31823288945975,63.70496598029628
boreal,DENALI,13,1101.42,31104,2013,3,-151.31823288945975,63.70496598029628
boreal,DENALI,14,15.93,31104,2014,3,-151.31823288945975,63.70496598029628
boreal,DENEZHKIN,1,59.58,72432,2001,3,59.48809548666293,60.5089723572197
boreal,DENEZHKIN,2,18.72,72432,2002,3,59.48809548666293,60.5089723572197
boreal,DENEZHKIN,3,48.6,72432,2003,3,59.48809548666293,60.5089723572197
boreal,DENEZHKIN,4,9.99,72432,2004,3,59.48809548666293,60.5089723572197
boreal,DENEZHKIN,5,1.6199999999999999,72432,2005,3,59.48809548666293,60.5089723572197
boreal,DENEZHKIN,6,34.379999999999995,72432,2006,3,59.48809548666293,60.5089723572197
boreal,DENEZHKIN,7,1.89,72432,2007,3,59.48809548666293,60.5089723572197
boreal,DENEZHKIN,8,3.51,72432,2008,3,59.48809548666293,60.5089723572197
boreal,DENEZHKIN,9,2.4299999999999997,72432,2009,3,59.48809548666293,60.5089723572197
boreal,DENEZHKIN,10,255.78,72432,2010,3,59.48809548666293,60.5089723572197
boreal,DENEZHKIN,11,1216.8,72432,2011,3,59.48809548666293,60.5089723572197
boreal,DENEZHKIN,12,309.59999999999997,72432,2012,3,59.48809548666293,60.5089723572197
boreal,DENEZHKIN,13,64.08,72432,2013,3,59.48809548666293,60.5089723572197
boreal,DENEZHKIN,14,3.2399999999999998,72432,2014,3,59.48809548666293,60.5089723572197
boreal,FARNEBOFJARDEN,1,6.029999999999999,5040,2001,1,16.784154196297216,60.2012067962209
boreal,FARNEBOFJARDEN,2,0,5040,2002,1,16.784154196297216,60.2012067962209
boreal,FARNEBOFJARDEN,3,0.27,5040,2003,1,16.784154196297216,60.2012067962209
boreal,FARNEBOFJARDEN,4,8.549999999999999,5040,2004,1,16.784154196297216,60.2012067962209
boreal,FARNEBOFJARDEN,5,0.63,5040,2005,1,16.784154196297216,60.2012067962209
boreal,FARNEBOFJARDEN,6,0.44999999999999996,5040,2006,1,16.784154196297216,60.2012067962209
boreal,FARNEBOFJARDEN,7,4.59,5040,2007,1,16.784154196297216,60.2012067962209
boreal,FARNEBOFJARDEN,8,0.09,5040,2008,1,16.784154196297216,60.2012067962209
boreal,FARNEBOFJARDEN,9,2.79,5040,2009,1,16.784154196297216,60.2012067962209
boreal,FARNEBOFJARDEN,10,0.36,5040,2010,1,16.784154196297216,60.2012067962209
boreal,FARNEBOFJARDEN,11,0.72,5040,2011,1,16.784154196297216,60.2012067962209
boreal,FARNEBOFJARDEN,12,3.42,5040,2012,1,16.784154196297216,60.2012067962209
boreal,FARNEBOFJARDEN,13,0.8099999999999999,5040,2013,1,16.784154196297216,60.2012067962209
boreal,FARNEBOFJARDEN,14,1.08,5040,2014,1,16.784154196297216,60.2012067962209
boreal,FULUFJALLET,1,0.27,5904,2001,1,12.739429569108696,61.54560240517525
boreal,FULUFJALLET,2,0,5904,2002,1,12.739429569108696,61.54560240517525
boreal,FULUFJALLET,3,0,5904,2003,1,12.739429569108696,61.54560240517525
boreal,FULUFJALLET,4,0.54,5904,2004,1,12.739429569108696,61.54560240517525
boreal,FULUFJALLET,5,0,5904,2005,1,12.739429569108696,61.54560240517525
boreal,FULUFJALLET,6,0.09,5904,2006,1,12.739429569108696,61.54560240517525
boreal,FULUFJALLET,7,0.18,5904,2007,1,12.739429569108696,61.54560240517525
boreal,FULUFJALLET,8,0.18,5904,2008,1,12.739429569108696,61.54560240517525
boreal,FULUFJALLET,9,0,5904,2009,1,12.739429569108696,61.54560240517525
boreal,FULUFJALLET,10,0.54,5904,2010,1,12.739429569108696,61.54560240517525
boreal,FULUFJALLET,11,0,5904,2011,1,12.739429569108696,61.54560240517525
boreal,FULUFJALLET,12,0.8099999999999999,5904,2012,1,12.739429569108696,61.54560240517525
boreal,FULUFJALLET,13,0.09,5904,2013,1,12.739429569108696,61.54560240517525
boreal,FULUFJALLET,14,0.18,5904,2014,1,12.739429569108696,61.54560240517525
boreal,GASPESIE,1,27.54,76464,2001,2,-66.3635944596967,48.919246317512396
boreal,GASPESIE,2,27.63,76464,2002,2,-66.3635944596967,48.919246317512396
boreal,GASPESIE,3,6.12,76464,2003,2,-66.3635944596967,48.919246317512396
boreal,GASPESIE,4,6.93,76464,2004,2,-66.3635944596967,48.919246317512396
boreal,GASPESIE,5,12.78,76464,2005,2,-66.3635944596967,48.919246317512396
boreal,GASPESIE,6,3.2399999999999998,76464,2006,2,-66.3635944596967,48.919246317512396
boreal,GASPESIE,7,25.2,76464,2007,2,-66.3635944596967,48.919246317512396
boreal,GASPESIE,8,3.42,76464,2008,2,-66.3635944596967,48.919246317512396
boreal,GASPESIE,9,84.6,76464,2009,2,-66.3635944596967,48.919246317512396
boreal,GASPESIE,10,33.57,76464,2010,2,-66.3635944596967,48.919246317512396
boreal,GASPESIE,11,9.45,76464,2011,2,-66.3635944596967,48.919246317512396
boreal,GASPESIE,12,53.55,76464,2012,2,-66.3635944596967,48.919246317512396
boreal,GASPESIE,13,30.869999999999997,76464,2013,2,-66.3635944596967,48.919246317512396
boreal,GASPESIE,14,15.93,76464,2014,2,-66.3635944596967,48.919246317512396
boreal,GODBOUT,1,0.72,20160,2001,2,-67.84602097188683,49.64752341291868
boreal,GODBOUT,2,0.54,20160,2002,2,-67.84602097188683,49.64752341291868
boreal,GODBOUT,3,0,20160,2003,2,-67.84602097188683,49.64752341291868
boreal,GODBOUT,4,0,20160,2004,2,-67.84602097188683,49.64752341291868
