biome,site,value,disturbance_ha,openforest_ha,year,cluster,x,y
boreal,BROADBACK,12,566.8199999999999,133488,2012,3,-77.21444887447923,50.96609354683325
boreal,BROADBACK,13,1778.76,133488,2013,3,-77.21444887447923,50.96609354683325
boreal,BROADBACK,14,131.57999999999998,133488,2014,3,-77.21444887447923,50.96609354683325
boreal,CARTIER,1,0,288,2001,2,-71.34785213179656,47.31721033605456
boreal,CARTIER,2,0,288,2002,2,-71.34785213179656,47.31721033605456
boreal,CARTIER,3,0,288,2003,2,-71.34785213179656,47.31721033605456
boreal,CARTIER,4,0,288,2004,2,-71.34785213179656,47.31721033605456
boreal,CARTIER,5,0,288,2005,2,-71.34785213179656,47.31721033605456
boreal,CARTIER,6,0,288,2006,2,-71.34785213179656,47.31721033605456
boreal,CARTIER,7,0,288,2007,2,-71.34785213179656,47.31721033605456
boreal,CARTIER,8,0,288,2008,2,-71.34785213179656,47.31721033605456
boreal,CARTIER,9,0,288,2009,2,-71.34785213179656,47.31721033605456
boreal,CARTIER,10,0,288,2010,2,-71.34785213179656,47.31721033605456
boreal,CARTIER,11,0,288,2011,2,-71.34785213179656,47.31721033605456
boreal,CARTIER,12,0,288,2012,2,-71.34785213179656,47.31721033605456
boreal,CARTIER,13,0,288,2013,2,-71.34785213179656,47.31721033605456
boreal,CARTIER,14,0,288,2014,2,-71.34785213179656,47.31721033605456
boreal,CENTRALFOR,1,0,0,2001,1,32.904219793807876,56.500150495467864
boreal,CENTRALFOR,2,0,0,2002,1,32.904219793807876,56.500150495467864
boreal,CENTRALFOR,3,0,0,2003,1,32.904219793807876,56.500150495467864
boreal,CENTRALFOR,4,0,0,2004,1,32.904219793807876,56.500150495467864
boreal,CENTRALFOR,5,0,0,2005,1,32.904219793807876,56.500150495467864
boreal,CENTRALFOR,6,0,0,2006,1,32.904219793807876,56.500150495467864
boreal,CENTRALFOR,7,0,0,2007,1,32.904219793807876,56.500150495467864
boreal,CENTRALFOR,8,0,0,2008,1,32.904219793807876,56.500150495467864
boreal,CENTRALFOR,9,0,0,2009,1,32.904219793807876,56.500150495467864
