site,biome,height.pft,wooddensity.pft,conifershare.pft,height.species,wooddensity.species,conifershare.species,temp_mean_sd,prec_mean_sd,temp_mean,temp_range,prec_mean,prec_range,x,y,cluster,site_id
kalkalpen,temperate,33.823,286.03775,0.4,42.15000000000004,550.5874987560568,0.4,0.7005548379917202,132.51466368302016,6.911931093561874,22.423585207231582,736.1480511741443,154.5869137521874,14.39323543140843,47.77006703064983,Moderate,74
kellerwald,temperate,27.684276595744677,317.3755106382979,0.6,33.3978723404256,610.0327553973042,0.6,0.78295134838249,164.88727334879601,8.364824127783919,20.047354805824018,872.2876609187373,123.58767464850936,8.97782753839907,51.14663917534673,Moderate,75
KIVACH,boreal,42.45533,231.62527,0.4,39.9323693,467.65355174025575,0.4,0.9070272394723018,103.787185777775,1.840721816020053,29.818628538415705,729.6864580114379,124.60072752350106,34.0181298039842,62.26525627915287,Low,16
KLUANE,boreal,41.4678,232.1142,0.25,45.04162285714286,447.0198850190743,0.25,0.855661668765634,149.1440876843195,-1.6780645566639514,20.41150451460532,1214.844657511379,160.00288478561822,-139.20245547778103,60.63155201858082,Low,17
KOOTENAY,boreal,43.27697058823529,229.97273529411763,0.8,53.105599999999995,423.6576728096352,0.8,0.7955623371904805,74.16537712035435,1.0446331914915226,25.956549246615012,470.86386130544844,112.09243349618988,-116.0313811570884,50.93531752049903,High,18
LAHEMAA,boreal,41.32513,234.13757,0.4,39.9450415,470.384636176947,0.4,0.9705929574211944,87.41706496834443,4.6416867347316835,26.95952612559601,611.1913584656708,103.35366816361038,26.037399507301718,59.58148028056476,Moderate,19
malakisis,temperate,24.442767676767676,317.15233333333333,0.4,15.025755151515153,745.1106765346412,0.4,0.8530234950754766,91.83715255658933,2.4626049682578093,32.78811633202337,1040.1030214522625,138.35387897173766,-78.64131715032099,46.70801154063192,Low,77
MALTIO,boreal,44.2792,228.50825,0.6666666666666666,41.794352700000005,462.62294166618483,0.6666666666666666,0.891746730460594,124.4079941412125,-1.1219123062693486,28.357399714179785,741.4431164375449,122.6922307655904,28.71938564936895,67.39581934033298,Low,20
MPECHORO,boreal,43.991473684210526,231.89247368421053,0.8,41.014064210526314,462.14427595808127,0.8,1.0343231593535938,78.18541545799026,-1.5171882042189384,35.13356927166642,783.6089848085938,137.8956048533108,58.81045237460245,62.50991174383526,Moderate,21
MUDDUS,boreal,45.00674999999999,225.32894999999996,0.6666666666666666,40.0126722,449.3871756230188,0.6666666666666666,0.8574483768036332,68.4814974728042,-1.5221294027330452,24.72673008280235,422.7725884641092,86.04844036164697,20.197333506389757,66.91631560674142,Moderate,22
muritz,temperate,35.910333333333334,255.31122222222223,0.2,30.44751111111113,502.46433433986016,0.2,0.9047510862541042,113.32791665854305,8.761898460757909,21.570380644452186,510.3732635305469,88.09738445388913,12.86780579831926,53.42978985587187,Low,78
NAHANNI,boreal,40.171731182795696,236.4732688172043,0.4,42.74737913326816,449.70647795573217,0.4,0.8770922393587656,71.02388241990934,-5.230223423112316,33.10642015108271,660.3820898184111,147.5251015889427,-125.88845506098424,61.609321488469774,High,23
NATASHQUAN,boreal,46.356,229.419,1,38.4660404040404,476.6268484898609,1,0.9439603120418454,113.80575288152795,-0.6316306013153158,30.435286394259116,1040.863259133636,119.52993560710297,-61.62849197152997,51.542174187174844,High,24
NIQUET,boreal,45.282300000000006,230.84445,0.6666666666666666,47.918216150528536,456.3146285539891,0.6666666666666666,0.9594330303043133,85.34353594187087,0.11846966429061773,35.60360310101342,983.8473762734232,127.32927889132057,-79.00782764424395,50.132428374507334,Moderate,25
ONEZHKOYE,boreal,40.9875,236.54625000000001,0.5,41,468.9860350434674,0.5,1.057123762221692,96.04427188495325,0.9782762710131958,28.64943749556151,510.8456898609956,64.96563845208031,37.148441844837535,64.94308389444447,High,26
ONISTAGANE,boreal,45.695525,229.50535000000002,0.75,46.800624896030065,462.35571432294483,0.75,0.9799966508000395,93.39272576418237,-0.9740431042552897,32.997070887545306,1167.250180580503,154.90029294007292,-71.32887934833232,50.940504942683184,High,27
OSKELANEO,boreal,39.0379,240.39935,0.6,38.3113066334038,487.36903383742333,0.6,0.8275462333893704,104.99306662984323,2.356351015165648,31.62997938885628,1172.221347142114,145.8114818149087,-75.2713604517207,48.185365769609156,High,28
ozarks,temperate,32.109719999999996,250.60908,0.3333333333333333,42.52056590883721,595.6136447996197,0.3333333333333333,0.6604981922529175,121.73007844342699,15.552104211382327,23.965623271080755,823.3953070303588,154.66639573268918,-93.1941808620808,35.72936294538426,Moderate,82
perucie,temperate,36.126000000000005,278.25700000000006,0.6666666666666666,51.15000000000004,524.1150530971561,0.6666666666666666,0.5153054491851086,180.91847183851186,11.634465296379721,20.91673310749954,1069.7682224459145,190.19147571711034,18.711013515024707,43.30790284764864,Low,83
ponds,temperate,24.56385,327.6699,0.4,10.82406,689.4,0.4,0.7285823320458233,99.79886930766523,4.952472291988201,29.913938922266805,1245.5710285277553,149.57693434491608,-74.95478531358069,44.01020482890455,Low,84
porcupine,temperate,28.9625,306.028,0.2,27.914,664.1239162769635,0.2,1.1226593980048996,98.65274566491264,4.598146410438643,31.494154730150775,675.786946433465,90.25629822066936,-89.77250057663416,46.76334608351305,Moderate,85
PPECHORO,boreal,44.491099999999996,226.83565,0.6666666666666666,39.9816805,453.87255335371987,0.6666666666666666,1.0107867143956433,83.11312000661037,-1.2624210506042564,34.68501959010225,813.4348311692737,145.6692525608804,57.016014551596996,61.82426849741519,High,29
PRINCEALBERT,boreal,38.39182105263158,242.22986315789475,0.8,36.14808308873476,433.31475259719383,0.8,1.0841220354360923,90.1729619201659,1.0219641328207638,36.65565590878952,600.3173393327019,137.02427333762168,-106.36967462895886,53.963400742981165,High,30
PROVENCHER,boreal,45.72167,230.32438,0.75,41.20909488484848,476.0080631965835,0.75,0.8876207235664612,100.4140773790326,-0.017754632537527758,31.893482064147058,1161.5140312255346,147.36486262343877,-68.24133893809591,50.11355279267362,Moderate,31
PUTORANA,boreal,51.930949999999996,258.5238,0.6666666666666666,47.28901383333333,515.2523023721321,0.6666666666666666,0.8888375508794102,63.97165370162814,-11.727434607003948,42.83522460493387,349.71732388054454,95.47309979016619,93.94199386221358,69.03081748420199,Moderate,32
RACINE,boreal,46.25710000000001,228.9179,1,49.007799573784354,458.3792577062078,1,1.0002980817008493,94.38372977253361,-3.3544379261095445,33.07799718781878,1166.959548179135,148.48678651509152,-68.5000646934181,52.26140223295027,High,33
reed,temperate,39.96225,259.94275,0.6,25.549139999999998,497.8639418721998,0.6,0.8361395588413321,121.27798601666487,1.7476033096912726,31.920967009759718,1128.553088757888,146.2857867750621,-69.07098309586529,46.34940208788597,Moderate,89
RIDING,boreal,31.594088888888884,254.5549111111111,0.6,29.301809557361732,424.8255312805133,0.6,1.2816817599671728,93.47315336040587,-4.526955453391904,35.88313112025672,980.8036790706981,141.66853714619674,-73.11759975209418,54.72345891861901,Moderate,35
risnjak,temperate,34.84725,284.36175000000003,0.6666666666666666,48.762500000000045,537.1261526430559,0.6666666666666666,0.5576786356355676,135.36191057174122,11.609299129275705,20.784067346684395,868.3493896474434,166.9927427817343,14.646621346416152,45.43257357671387,Moderate,90
SPATSIZI,boreal,43.67027551020408,229.82258163265305,0.8,44.41535023706452,417.3006658478324,0.8,0.7974107227136449,93.20574525318996,-2.9068104981246625,23.994006618710053,872.7699833105286,106.99395728432283,-128.51330247517726,57.54357533930847,High,36
STOLBY,boreal,43.90744210526316,235.09145263157896,0.8,39.62105263157895,444.13565398823846,0.8,0.9423614782160253,100.65369089518381,-0.3432364406940415,33.96076219856592,597.9168326395951,136.9389787749137,92.92730789157613,55.80722531566407,Moderate,37
sub,temperate,25.871,262.939,0,23.812326388888888,591.0478875701265,0,0.6832641951708944,159.3734404135394,5.410928866395387,23.286186618189657,774.4449124425145,206.63353905569232,145.12156503821,44.08833103513054,Moderate,91
sumava,temperate,46.15115,229.7542,0.5,49.7,474.9157123925683,0.5,0.8100365684500053,166.0016891287615,7.9888802258468665,20.78123076103868,784.4910177914222,148.0576178488311,13.458402773612544,48.99036226315622,Moderate,92
sylvania,temperate,31.52,293.81850000000003,0.2,34.629,625.9239162769635,0.2,1.077136654346049,98.65274566491264,5.63394412263647,31.310100286237656,675.786946433465,90.25629822066936,-89.294214752857485,46.21101956240995,Low,93
TIVEDEN,boreal,46.1582,228.41680000000002,1,48,467.85239291807005,1,0.8481023792001389,109.09438282105397,8.303572326628732,18.83647202800859,822.5262916528148,124.18421386433481,14.611452346938842,58.71615003055456,Low,39
TUNGUSKA,boreal,46.182030927835044,246.67467010309278,0.75,41.50597799541809,499.7661816473792,0.75,1.0821613417778655,65.80711270094346,-5.01472038255449,44.86003406220387,363.49857177016366,91.8767931726686,101.99962384000192,60.82511091857773,High,40
TUNTSA,boreal,44.361160000000005,230.29664000000002,0.6666666666666666,44.4506888,471.55134827002837,0.6666666666666666,0.8651300331540978,101.0959380477761,-0.9184381651114459,27.941895285469517,546.1935441736227,107.72426082841827,29.532652529938986,67.63748453278818,Low,41
uholka,temperate,20.781,351.514,0,32.2500000000001,654.5910164031869,0,0.8091085357593968,151.77427434932912,7.768079158873798,25.12237891843242,856.8820608964417,185.4649901122769,23.66589052036905,48.27463913314127,Low,98
VARRIO,boreal,43.9119,230.7666,0.6666666666666666,43.563361,472.47608710801796,0.6666666666666666,0.8651300331540978,101.0959380477761,-0.9184381651114459,27.941895285469517,546.1935441736227,107.72426082841827,29.645823613056827,67.73848626900129,Low,43
VEPPSKY,boreal,45.30913,229.60727,0.5,46.8563361,466.47468629159505,0.5,0.8943976241762159,135.03447513742606,3.2537234341503445,30.114450838739153,919.5359851453327,137.67586714118508,35.16801192466339,60.211758762476386,Moderate,44
VISHERSKY,boreal,43.1349,233.69535000000002,0.75,40.5700415,468.09423142811687,0.75,0.9681720656525619,86.79969947627507,-0.7972811574948394,35.365495077799046,725.3066796015062,143.83832612021374,59.0329035180166,61.277891408526905,Moderate,45
VODLFIRE,boreal,45.63683695652174,227.97316304347825,0.6,45.25145228260869,462.22334059248203,0.6,0.9167030068339278,107.47039182171342,2.100100158098079,29.639089910909927,798.658955100976,121.29299131507246,37.06893681076451,62.37726476255311,Moderate,46
VODLMAJOR,boreal,44.91921,230.37789,0.5,46.4380166,473.6306871427916,0.5,0.9167030068339278,107.47039182171342,2.100100158098079,29.639089910909927,798.658955100976,121.29299131507246,36.790672634107516,62.46028472211058,Low,47
WABAKIMI,boreal,44.48298969072165,231.25365979381445,0.6,45.64046524678092,457.8456784509248,0.6,1.0151925320144024,94.35042706072919,0.5471943461377358,35.093798745868646,933.4958442110807,140.55850211479571,-89.421208966451,50.757182099162414,High,48
weminuche,temperate,42.01175,234.87025,0.8,42.006271999999996,416.91083520272304,0.8,0.6449533623584341,111.08868749048521,5.899797712830747,26.07244840745003,533.0962348524395,121.88844370831448,-107.28667376128337,37.60331557116128,High,101
WOODBUFFALO,boreal,38.605979591836736,239.19172448979592,0.6,37.70561413738716,432.0224731989564,0.6,1.1126773461643245,100.34987750598127,-1.6650025577299816,39.39309543824018,523.3566327511903,134.4782842112397,-113.25811854113374,59.35499555278062,High,49
WOODLANDCARIBOU,boreal,41.74484536082474,234.3672680412371,0.6,39.56892279139513,450.25123769205084,0.6,1.0429425191344353,94.55771461370836,1.0949015008237006,37.79499532164537,771.1574026545596,150.39507458954043,-94.73726503401242,51.084623128276924,High,50
yellowstone,temperate,45.8615,226.9135,1,49.5,421.4091577105475,1,0.752033772680805,101.35655677602799,3.172388377394127,28.173783825289817,499.67826654249757,119.52416270606075,-110.30559793548129,44.5348739794386,High,102
YUGYDVA,boreal,43.8606609535067,235.75939322301025,0.8,43.81895806737589,476.72026701692397,0.8,1.178063481255694,80.40751272755773,-3.6668220319486275,36.10783156979807,799.8825142356094,132.0257712918254,59.376513217724764,64.68363250223118,Moderate,51
YUKON,boreal,35.86625,244.92625,0.5,36.624414882871264,476.96974816502404,0.5,1.0730486287055596,65.4509680982358,-8.128233489610409,38.03093657223454,751.2269031527491,155.7790109845409,-148.91700752862343,66.5045083341004,High,52
ZEYSKY,boreal,39.724777777777774,261.1388333333333,0.5,41.666666666666664,521.6163280567603,0.5,0.7337527950694129,127.06367621823118,-5.365790082718473,44.210617568123574,1102.2495868641527,201.46673790712288,127.11689242723878,54.05568108288092,High,53
zirkel,temperate,43.1349,233.69535000000002,0.8,47.317973333333335,448.0488824682091,0.8,0.7473318978742116,111.08868749048521,4.157701271443417,26.84467875572943,533.0962348524395,121.88844370831448,-106.7017570612496,40.76846946847521,High,103
